SD,"56,894","58,685","56,975","54,987","56,298","57,394","52,856","51,581","51,099","52,485","58,892","55,013","55,365","54,296","53,476","52,803","51,749","55,060","52,066","52,878","49,419","45,364","46,083","47,393","48,789","46,464","45,098","43,368","44,821","46,145","44,539","43,782","42,605","39,525","43,737"
TN,"55,240","52,448","48,971","45,310","45,703","44,795","45,989","46,181","43,481","46,404","45,313","48,823","49,595","49,584","49,528","50,133","50,597","49,664","48,670","53,902","51,386","46,803","48,055","46,491","46,994","42,050","41,764","43,040","41,211","43,280","41,666","43,840","39,089","38,732","37,817"
TX,"59,295","59,396","58,432","55,839","54,183","55,891","55,542","53,573","53,255","54,373","53,060","54,580","52,781","52,120","53,853","52,468","54,859","56,711","55,112","57,099","53,936","53,585","51,617","51,336","50,466","48,123","48,007","48,813","51,492","49,548","49,871","51,171","51,735","51,727","51,883"
UT,"71,319","68,932","68,556","65,694","64,344","66,368","62,403","60,614","63,886","66,990","71,375","63,440","66,579","68,970","66,178","65,834","65,397","65,707","67,875","67,964","66,772","65,348","57,807","58,452","58,607","59,948","58,823","49,311","54,984","58,796","52,568","54,914","56,272","54,984","51,957"
VT,"63,805","62,145","61,557","62,922","69,052","57,804","59,452","56,648","63,015","59,920","57,872","56,165","63,353","63,800","61,570","57,799","58,753","56,619","56,518","61,373","59,346","53,551","50,503","54,196","58,748","52,039","56,254","51,316","56,728","59,902","57,912","52,608","52,670","56,645","50,878"
VA,"71,293","67,880","63,618","68,567","69,467","71,272","69,132","68,394","68,017","69,292","70,745","70,115","69,615","65,322","66,529","73,193","67,815","69,731","67,322","67,437","65,348","65,626","61,198","58,039","61,775","61,032","65,602","63,605","63,979","65,305","65,224","62,090","63,625","61,936","59,772"
WA,"75,418","71,822","69,575","61,222","67,375","63,353","66,517","62,096","63,280","69,167","64,634","68,834","66,695","63,727","64,944","63,473","61,738","58,973","60,702","67,113","71,478","68,078","57,242","56,991","55,025","59,728","58,220","59,791","58,577","61,177","64,582","56,549","57,557","52,287","56,374"
WV,"45,392","45,308","44,309","40,994","45,395","42,415","46,586","45,680","48,198","46,373","43,363","49,885","46,824","45,858","43,415","43,773","40,116","41,184","41,982","43,239","40,251","41,994","39,404","39,865","38,666","37,559","34,814","40,741","40,381","41,492","38,663","35,618","35,252","34,821","37,955"
WI,"63,451","61,103","57,347","60,198","54,520","58,243","56,775","56,862","56,731","58,682","58,436","60,771","63,001","56,182","59,493","61,818","62,721","62,937","64,360","67,399","62,292","60,490","62,431","65,623","58,068","53,214","57,204","54,798","56,022","55,744","59,085","54,583","56,591","50,645","46,743"
WY,"57,837","59,073","63,038","57,721","71,084","58,709","61,517","59,539","58,816","60,094","60,875","57,769","57,332","56,268","59,057","56,855","54,332","55,127","56,568","54,974","53,133","51,061","48,310","50,519","54,380","49,320","51,881","51,131","53,740","56,506","52,780","57,110","50,444","48,106","53,668"

